web_scraper_order,web_scraper_start_url,title,data,data2,data3,data4,data5,image,image2,image3,image4,image5,image6,image7,item_page_title,item_page_link,condition,title_1,name,data_1,data_2,price,price_usd,Currency,price_vef,questions_count,priceCurrency,location,Location,Shipping,product_5_location,availability,Seller_Name,seller_name,Seller_Sales,seller_products,Seller_Products,product_5_seller_products,about,Description,brand,Key_Feature,data_4,data_3,image_1,image_3,image_2
"1774842325-1","https://listado.mercadolibre.com.ve/_Desde_145_CustId_2218556326_NoIndex_True","Punto De Acceso Wifi 6 Interior/exterior Ax1800 Access Point","353","US$","","99",",","","","","https://http2.mlstatic.com/D_Q_NP_2X_837704-MLV87865038570_072025-E.webp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1774842325-2","https://listado.mercadolibre.com.ve/_Desde_145_CustId_2218556326_NoIndex_True","Controlador Tp-link Omada Oc200 Fast Ethernet","213","US$","","","","","","","https://http2.mlstatic.com/D_Q_NP_2X_999384-MLV88317348639_072025-E.webp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1774842325-3","https://listado.mercadolibre.com.ve/_Desde_145_CustId_2218556326_NoIndex_True","Adaptador Dlink Usb 3.0 Ac1300/1200 Inalambrico Banda Dual","44","US$","","","","","","","https://http2.mlstatic.com/D_Q_NP_2X_778136-MLV88201864549_072025-E.webp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1774842325-4","https://listado.mercadolibre.com.ve/_Desde_145_CustId_2218556326_NoIndex_True","Cable Sfp+ Dlink Conexion Directa De 10 Gbe De 300cm","98","US$","","50",",","","","","https://http2.mlstatic.com/D_Q_NP_2X_875338-MLV87976721734_072025-E.webp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1774842325-5","https://listado.mercadolibre.com.ve/_Desde_145_CustId_2218556326_NoIndex_True","Adaptador Linksys Ac1200 Inalambrico De Banda Dual","84","US$","","","","","","","https://http2.mlstatic.com/D_Q_NP_2X_922560-MLV88314108875_072025-E.webp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1774842325-6","https://listado.mercadolibre.com.ve/_Desde_145_CustId_2218556326_NoIndex_True","Router D-link Eagle Pro Ia Ax3200 Smart R32 Wifi 6. Sf","137","US$","","","","","","","https://http2.mlstatic.com/D_Q_NP_2X_769015-MLV88702790477_072025-E.webp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1774842325-7","https://listado.mercadolibre.com.ve/_Desde_145_CustId_2218556326_NoIndex_True","Router Ac1300 Doble Banda Ful Gigabit Mercusys Fibra Optica","69","US$","","","","","","","https://http2.mlstatic.com/D_Q_NP_2X_637474-MLV88360696832_072025-E.webp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1774842325-8","https://listado.mercadolibre.com.ve/_Desde_145_CustId_2218556326_NoIndex_True","Router Tp-link Archer C64 Doble Banda 150 Ac1200 Gigabit","79","US$","","","","","","","https://http2.mlstatic.com/D_Q_NP_2X_605963-MLV88762912061_072025-E.webp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1774842325-9","https://listado.mercadolibre.com.ve/_Desde_145_CustId_2218556326_NoIndex_True","Router Mercusys Mr30g Dual Band Ac1200 Full Gigabit","57","US$","","98",",","","","","https://http2.mlstatic.com/D_Q_NP_2X_860026-MLV88753921221_072025-E.webp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1774842325-10","https://listado.mercadolibre.com.ve/_Desde_145_CustId_2218556326_NoIndex_True","Ups Apc Bvx1200l-lm Back-ups 1200va 120v Avr Charging","209","US$","","","","","","","https://http2.mlstatic.com/D_Q_NP_2X_845452-MLV89973827671_082025-E.webp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1774842325-11","https://listado.mercadolibre.com.ve/_Desde_145_CustId_2218556326_NoIndex_True","Acer Mini Laptop 4gb Con 32gb Pantalla Táctil","185","US$","Usado","","","","","","https://http2.mlstatic.com/D_Q_NP_2X_855045-MLV85525445320_062025-E.webp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1774842325-12","https://listado.mercadolibre.com.ve/_Desde_145_CustId_2218556326_NoIndex_True","Computadores Hp/lenovo I5 De 8va Gen 8gb Ram 240b Ssd","349","US$","Usado","99",",","","","","https://http2.mlstatic.com/D_Q_NP_2X_645635-MLV85858614748_062025-E.webp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1774842325-13","https://listado.mercadolibre.com.ve/_Desde_145_CustId_2218556326_NoIndex_True","Computadores I5 De 6ta Gen 8gb De Ram 256gb Ssd","234","US$","Usado","","","","","","https://http2.mlstatic.com/D_Q_NP_2X_828462-MLV86168358523_062025-E.webp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
